UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,AG_ECO9,EPA_REG,STATE,CHEM_NOT_COLLECTED,WCHL_NOT_COLLECTED,LAB,MATRIX,SAM_CODE,CHEM_DATE_RECEIVED,CHEM_LAB_SAMPLE_ID,AMMONIA_N_BATCH_ID,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_DILUTION_FACTOR,AMMONIA_N_HOLDING_TIME,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,ANC_BATCH_ID,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_MDL,ANC_NARS_FLAG,ANC_QA_FLAG,ANC_RESULT,ANC_RL,ANC_UNITS,CALCIUM_BATCH_ID,CALCIUM_DATE_ANALYZED,CALCIUM_DILUTION_FACTOR,CALCIUM_HOLDING_TIME,CALCIUM_MDL,CALCIUM_NARS_FLAG,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CALCIUM_UNITS,CHLORIDE_BATCH_ID,CHLORIDE_DATE_ANALYZED,CHLORIDE_DILUTION_FACTOR,CHLORIDE_HOLDING_TIME,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COLOR_BATCH_ID,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_MDL,COLOR_NARS_FLAG,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COLOR_UNITS,COND_BATCH_ID,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_MDL,COND_NARS_FLAG,COND_QA_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_BATCH_ID,DOC_DATE_ANALYZED,DOC_DILUTION_FACTOR,DOC_HOLDING_TIME,DOC_MDL,DOC_NARS_FLAG,DOC_QA_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,MAGNESIUM_BATCH_ID,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_DILUTION_FACTOR,MAGNESIUM_HOLDING_TIME,MAGNESIUM_MDL,MAGNESIUM_NARS_FLAG,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,MAGNESIUM_UNITS,NITRATE_N_BATCH_ID,NITRATE_N_DATE_ANALYZED,NITRATE_N_DILUTION_FACTOR,NITRATE_N_HOLDING_TIME,NITRATE_N_MDL,NITRATE_N_NARS_FLAG,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_N_UNITS,NITRATE_NITRITE_N_BATCH_ID,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NITRITE_N_BATCH_ID,NITRITE_N_DATE_ANALYZED,NITRITE_N_DILUTION_FACTOR,NITRITE_N_HOLDING_TIME,NITRITE_N_MDL,NITRITE_N_NARS_FLAG,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NITRITE_N_UNITS,NTL_BATCH_ID,NTL_DATE_ANALYZED,NTL_DISS_BATCH_ID,NTL_DISS_DATE_ANALYZED,NTL_DISS_HOLDING_TIME,NTL_DISS_MDL,NTL_DISS_NARS_FLAG,NTL_DISS_QA_FLAG,NTL_DISS_RESULT,NTL_DISS_UNITS,NTL_HOLDING_TIME,NTL_MDL,NTL_NARS_FLAG,NTL_QA_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_BATCH_ID,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_NARS_FLAG,PH_QA_FLAG,PH_RESULT,PH_UNITS,POTASSIUM_BATCH_ID,POTASSIUM_DATE_ANALYZED,POTASSIUM_DILUTION_FACTOR,POTASSIUM_HOLDING_TIME,POTASSIUM_MDL,POTASSIUM_NARS_FLAG,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,POTASSIUM_UNITS,PTL_BATCH_ID,PTL_DATE_ANALYZED,PTL_DISS_BATCH_ID,PTL_DISS_DATE_ANALYZED,PTL_DISS_HOLDING_TIME,PTL_DISS_MDL,PTL_DISS_NARS_FLAG,PTL_DISS_QA_FLAG,PTL_DISS_RESULT,PTL_DISS_UNITS,PTL_HOLDING_TIME,PTL_MDL,PTL_NARS_FLAG,PTL_QA_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SILICA_BATCH_ID,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_MDL,SILICA_NARS_FLAG,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SILICA_UNITS,SODIUM_BATCH_ID,SODIUM_DATE_ANALYZED,SODIUM_DILUTION_FACTOR,SODIUM_HOLDING_TIME,SODIUM_MDL,SODIUM_NARS_FLAG,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SODIUM_UNITS,SULFATE_BATCH_ID,SULFATE_DATE_ANALYZED,SULFATE_DILUTION_FACTOR,SULFATE_HOLDING_TIME,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TKN_BATCH_ID,TKN_DATE_ANALYZED,TKN_HOLDING_TIME,TKN_MDL,TKN_NARS_FLAG,TKN_QA_FLAG,TKN_RESULT,TKN_RL,TKN_UNITS,TSS_BATCH_ID,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_MDL,TSS_NARS_FLAG,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TSS_UNITS,TURB_BATCH_ID,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_MDL,TURB_NARS_FLAG,TURB_QA_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,WCHL_DATE_RECEIVED,WCHL_LAB_SAMPLE_ID,CHLA_BATCH_ID,CHLA_DATE_ANALYZED,CHLA_HOLDING_TIME,CHLA_MDL,CHLA_NARS_FLAG,CHLA_RESULT,CHLA_RL,CHLA_UNITS,CHLA_VOLUME_FILTERED,PHEO_BATCH_ID,PHEO_DATE_ANALYZED,PHEO_HOLDING_TIME,PHEO_NARS_FLAG,PHEO_RESULT,PHEO_RL,NtoP,NO3toP
2013297,4/28/2021,NRS18_WI_10040,8/20/2018,1,TPL,Region_05,WI,,,WSLOH,WATER,REGULAR,1,0,138904,8/28/2018,,8,0.015,L,>L,0.0689,0.048,mg N/L,139572,9/4/2018,14,51,H,"H,>L",5180,51,uEQ/L,139042,8/28/2018,,7,0.1,L,>L,63.5,0.3,mg/L,138917,8/24/2018,,3,0.775,L,>L,33.2,2.5,mg/L,138710,8/22/2018,2,5,L,>L,60,5,APHA PT-CO,139572,9/4/2018,14,10,H,"H,>L",674,10,uS/cm,138798,9/4/2018,,14,0.4,L,>L,9.04,1.3,mg/L,139042,8/28/2018,,7,0.1,L,>L,38.9,0.3,mg/L,138904,8/28/2018,,8,0.6,L,>L,3.31,2,mg N/L,138904,8/28/2018,8,0.072,L,>L,3.34,0.24,mg N/L,138863,8/22/2018,,1,0.05,ND,ND,,0.15,,141899,9/27/2018,,,,,,,,,37,0.075,L,>L,4.29,0.25,mg N/L,139572,9/4/2018,14,H,H,8.34,Std. Units,139042,8/28/2018,,7,0.1,L,>L,4.57,0.3,mg/L,139365,8/30/2018,,,,,,,,,9,5,L,>L,198,16,ug/L,138760,8/23/2018,2,0.1,L,>L,14.5,0.32,mg/L,139042,8/28/2018,,7,0.1,L,>L,16.3,0.3,mg/L,138917,8/24/2018,,3,4,L,>L,34.4,12.5,mg/L,,,,,,,,,,138606,8/24/2018,3,2,L,>L,12,2,mg/L,138849,8/23/2018,3,0.1,H,"H,>L",10.4,0.1,NTU,8/22/2018,,139575,9/5/2018,16,,,4.83,,,200,,,,,,,0.021666667,0.016717172
2013298,4/28/2021,NRS18_IL_10008,8/19/2018,1,CPL,Region_05,IL,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,23,0.001,,,0.014,0.004,mg N/L,180821.1,8/21/2018,2,,,,3668.09,,uEQ/L,3519.1,2/4/2019,,169,0.012,,,58.6,0.024,mg/L,180824.1,8/24/2018,,5,0.003,,,21.205,0.005,mg/L,180821,8/21/2018,2,,,,25,,APHA PT-CO,180821.1,8/21/2018,2,,,,629.9,2,uS/cm at 25 C,180829.1,8/29/2018,,10,0.026,,,4.38,0.2,mg/L,3519.1,2/4/2019,,169,0.001,,,24.506,0.002,mg/L,180824.1,8/24/2018,,5,2.00E-04,,,0.9358,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,5,1.00E-04,L,EST,3.00E-04,0.001,mg N/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.008,,,1.32,mg N/L,10,0.008,,,2.049,0.02,mg N/L,180821.1,8/21/2018,2,,,8.5,Std. Units,3519.1,2/4/2019,,169,0.027,,,4.51,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.5,,,94.548,ug/L,10,0.5,,,245.175,4,ug/L,180826.2,8/26/2018,7,0.003,,,4.53,0.01,mg/L,3519.1,2/4/2019,,169,0.003,,,37.979,0.006,mg/L,180824.1,8/24/2018,,5,0.001,,,103.487,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,2,,,,86.4,2,mg/L,180821.1,8/21/2018,2,,,,36.91,1,NTU,8/21/2018,,180906.1,9/6/2018,18,0.24,,61.12,,ug/L,250,,,,,,,0.008357296,0.003816866
2013299,4/28/2021,NRS18_MO_10024,8/19/2018,1,TPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,23,0.001,,,0.012,0.004,mg N/L,180821.1,8/21/2018,2,,,,3764.47,,uEQ/L,3519.1,2/4/2019,,169,0.012,,,58.87,0.024,mg/L,180824.1,8/24/2018,,5,0.003,,,21.64,0.005,mg/L,180821,8/21/2018,2,,,,12,,APHA PT-CO,180821.1,8/21/2018,2,,,,647.7,2,uS/cm at 25 C,180829.1,8/29/2018,,10,0.026,,,4.09,0.2,mg/L,3519.1,2/4/2019,,169,0.001,,,24.425,0.002,mg/L,180824.1,8/24/2018,,5,2.00E-04,,,0.9805,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,5,1.00E-04,L,EST,4.00E-04,0.001,mg N/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.008,,,1.409,mg N/L,10,0.008,,,1.699,0.02,mg N/L,180821.1,8/21/2018,2,,,8.51,Std. Units,3519.1,2/4/2019,,169,0.027,,,4.625,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.5,,,99.639,ug/L,10,0.5,,,219.226,4,ug/L,180826.1,8/26/2018,7,0.003,,,5.543,0.01,mg/L,3519.1,2/4/2019,,169,0.003,,,40.354,0.006,mg/L,180824.1,8/24/2018,,5,0.001,,,108.885,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,2,,,,88.8,2,mg/L,180821.1,8/21/2018,2,,,,42.3,1,NTU,8/21/2018,,180906.1,9/6/2018,18,0.24,,57.12,,ug/L,250,,,,,,,0.007749993,0.004472553
2013300,4/28/2021,NRS18_MO_10042,8/20/2018,1,TPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,22,0.001,,,0.023,0.004,mg N/L,180821.1,8/21/2018,1,,,,3757.59,,uEQ/L,3519.1,2/4/2019,,168,0.012,,,59.429,0.024,mg/L,180824.1,8/24/2018,,4,0.003,,,22.034,0.005,mg/L,180821,8/21/2018,1,,,,12,,APHA PT-CO,180821.1,8/21/2018,1,,,,648.7,2,uS/cm at 25 C,180829.1,8/29/2018,,9,0.026,,,4.14,0.2,mg/L,3519.1,2/4/2019,,168,0.001,,,24.859,0.002,mg/L,180824.1,8/24/2018,,4,2.00E-04,,,1.1594,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,4,1.00E-04,L,EST,6.00E-04,0.001,mg N/L,180829.2,8/29/2018,180828.1,8/28/2018,8,0.008,,,1.556,mg N/L,9,0.008,,,1.919,0.02,mg N/L,180821.1,8/21/2018,1,,,8.46,Std. Units,3519.1,2/4/2019,,168,0.027,,,4.769,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,8,0.5,,,117.961,ug/L,9,0.5,,,245.141,4,ug/L,180826.2,8/26/2018,6,0.003,,,7.646,0.01,mg/L,3519.1,2/4/2019,,168,0.003,,,40.744,0.006,mg/L,180824.1,8/24/2018,,4,0.001,,,109.524,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,1,,,,83.9,2,mg/L,180821.1,8/21/2018,1,,,,39.01,1,NTU,8/21/2018,,180906.1,9/6/2018,17,0.24,,46.4,,ug/L,250,,,,,,,0.007828148,0.004729523
2013301,4/28/2021,NRS18_MO_10025,8/20/2018,1,TPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,22,0.001,,,0.018,0.004,mg N/L,180821.1,8/21/2018,1,,,,3661.46,,uEQ/L,3519.1,2/4/2019,,168,0.012,,,57.78,0.024,mg/L,180824.1,8/24/2018,,4,0.003,,,22.291,0.005,mg/L,180821,8/21/2018,1,,,,15,,APHA PT-CO,180821.1,8/21/2018,1,,,,614,2,uS/cm at 25 C,180829.1,8/29/2018,,9,0.026,,,4.22,0.2,mg/L,3519.1,2/4/2019,,168,0.001,,,24.233,0.002,mg/L,180824.1,8/24/2018,,4,2.00E-04,,,1.1789,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,4,1.00E-04,L,EST,7.00E-04,0.001,mg N/L,180829.2,8/29/2018,180828.1,8/28/2018,8,0.008,,,1.594,mg N/L,9,0.008,,,1.874,0.02,mg N/L,180821.1,8/21/2018,1,,,8.45,Std. Units,3519.1,2/4/2019,,168,0.027,,,4.486,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,8,0.5,,,111.094,ug/L,9,0.5,,,232.943,4,ug/L,180826.1,8/26/2018,6,0.003,,,7.394,0.01,mg/L,3519.1,2/4/2019,,168,0.003,,,36.392,0.006,mg/L,180824.1,8/24/2018,,4,0.001,,,96.592,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,1,,,,85,2,mg/L,180821.1,8/21/2018,1,,,,41.49,1,NTU,8/21/2018,,180906.1,9/6/2018,17,0.24,,52.96,,ug/L,250,,,,,,,0.008044887,0.005060895
2013302,4/28/2021,NRS18_MO_10014,8/19/2018,2,CPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,23,0.001,,,0.012,0.004,mg N/L,180821.1,8/21/2018,2,,,,2868.58,,uEQ/L,3519.1,2/4/2019,,169,0.012,,,47.195,0.024,mg/L,180824.1,8/24/2018,,5,0.003,,,19.478,0.005,mg/L,180821,8/21/2018,2,,,,18,,APHA PT-CO,180821.1,8/21/2018,2,,,,499.7,2,uS/cm at 25 C,180829.1,8/29/2018,,10,0.026,,,3.59,0.2,mg/L,3519.1,2/4/2019,,169,0.001,,,17.52,0.002,mg/L,180824.1,8/24/2018,,5,2.00E-04,,,0.6811,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,5,1.00E-04,ND,MDL (0.0001),,0.001,,180829.2,8/29/2018,180828.1,8/28/2018,9,0.008,,,1.028,mg N/L,10,0.008,,,1.301,0.02,mg N/L,180821.1,8/21/2018,2,,,8.42,Std. Units,3519.1,2/4/2019,,169,0.027,,,3.76,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.5,,,71.589,ug/L,10,0.5,,,193.085,4,ug/L,180826.1,8/26/2018,7,0.003,,,3.578,0.01,mg/L,3519.1,2/4/2019,,169,0.003,,,28.171,0.006,mg/L,180824.1,8/24/2018,,5,0.001,,,74.206,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,2,,,,65.8,2,mg/L,180821.1,8/21/2018,2,,,,38.21,1,NTU,8/21/2018,,180906.1,9/6/2018,18,0.24,,51.52,,ug/L,250,,,,,,,0.006737965,0.003527462
2013303,4/28/2021,NRS18_MO_10008,8/19/2018,1,CPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,23,0.001,,,0.012,0.004,mg N/L,180821.1,8/21/2018,2,,,,2868.5,,uEQ/L,3519.1,2/4/2019,,169,0.012,,,46.102,0.024,mg/L,180824.1,8/24/2018,,5,0.003,,,19.392,0.005,mg/L,180821,8/21/2018,2,,,,14,,APHA PT-CO,180821.1,8/21/2018,2,,,,496.7,2,uS/cm at 25 C,180829.1,8/29/2018,,10,0.026,,,3.72,0.2,mg/L,3519.1,2/4/2019,,169,0.001,,,17.171,0.002,mg/L,180824.1,8/24/2018,,5,2.00E-04,,,0.6665,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,5,1.00E-04,ND,MDL (0.0001),,0.001,,180829.2,8/29/2018,180828.1,8/28/2018,9,0.008,,,1.001,mg N/L,10,0.008,,,1.305,0.02,mg N/L,180821.1,8/21/2018,2,,,8.45,Std. Units,3519.1,2/4/2019,,169,0.027,,,3.748,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,9,0.5,,,70.058,ug/L,10,0.5,,,201.228,4,ug/L,180826.2,8/26/2018,7,0.003,,,3.286,0.01,mg/L,3519.1,2/4/2019,,169,0.003,,,28.013,0.006,mg/L,180824.1,8/24/2018,,5,0.001,,,73.187,0.08,mg/L,,,,,,,,,,180821.1,8/21/2018,2,,,,70.4,2,mg/L,180821.1,8/21/2018,2,,,,36.19,1,NTU,8/21/2018,,180906.1,9/6/2018,18,0.24,,53.44,,ug/L,250,,,,,,,0.006485181,0.003312163
2013304,4/28/2021,NRS18_OR_10023,8/20/2018,1,WMT,Region_10,OR,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,22,0.001,,,0.006,0.004,mg N/L,180822.1,8/22/2018,2,,,,1343.35,,uEQ/L,3519.1,2/4/2019,,168,0.012,,,10.342,0.024,mg/L,180824.1,8/24/2018,,4,0.003,,,5.347,0.005,mg/L,180822,8/22/2018,2,,,,20,,APHA PT-CO,180822.1,8/22/2018,2,,,,157.1,2,uS/cm at 25 C,180831.1,8/31/2018,,11,0.026,,,1.99,0.2,mg/L,3519.1,2/4/2019,,168,0.001,,,8.802,0.002,mg/L,180824.1,8/24/2018,,4,2.00E-04,ND,MDL (0.0002),,0.0025,,,,,,,,,,,180824.1,8/24/2018,,4,1.00E-04,ND,MDL (0.0001),,0.001,,180906.1,9/6/2018,180905.1,9/5/2018,16,0.008,,,0.158,mg N/L,17,0.008,,,0.191,0.02,mg N/L,180822.1,8/22/2018,2,,,7.99,Std. Units,3519.1,2/4/2019,,168,0.027,,,1.186,0.054,mg/L,180906.1,9/6/2018,180905.1,9/5/2018,16,0.5,,,31.489,ug/L,17,0.5,,,41.111,4,ug/L,180826.3,8/26/2018,6,0.003,,,10.221,0.01,mg/L,3519.1,2/4/2019,,168,0.003,,,8.82,0.006,mg/L,180824.1,8/24/2018,,4,0.001,,,5.276,0.08,mg/L,,,,,,,,,,180824.1,8/24/2018,4,,,,3,2,mg/L,180822.1,8/22/2018,2,,,,2.12,1,NTU,8/22/2018,,180912.1,9/12/2018,23,0.24,,3.82,,ug/L,1000,,,,,,,0.004645959,0
2013305,4/28/2021,NRS18_NC_10030,8/20/2018,1,SAP,Region_04,NC,,,NCDEQ,WATER,REGULAR,1,0,8232018,8/23/2018,,3,0.005,,,0.06,0.02,mg N/L,,,,,,,,,,BATW0822-18,8/27/2018,,7,0.04,,,4.3,0.1,mg/L,AS19_082118_20mM_SHA,8/22/2018,,2,0.03,,,7.3,1,mg/L,8212018,8/21/2018,1,NA,,,94,5,APHA PT-CO,9042018,9/4/2018,15,NA,,,72.9,2,uS/cm at 25 C,8222018,8/22/2018,,2,0.142,,,12.1,2,mg/L,BATW0822-18,8/27/2018,,7,0.04,,,2.5,0.1,mg/L,,,,,,,,,,,8232018,8/23/2018,3,0.003,,,0.31,0.02,mg N/L,8222018,8/22/2018,,2,0.001,L,L,0,0.01,mg N/L,8282018,8/28/2018,,,,,,,,,8,0.05,,,1.12,0.2,mg N/L,8212018,8/21/2018,1,,,6.45,Std. Units,BATW0822-18,8/27/2018,,7,0.1,,,2.6,0.1,mg/L,8292018,8/29/2018,,,,,,,,,9,7,,,84,20,ug/L,8222018,8/22/2018,2,0.16,,,11.1,2,mg/L,BATW0822-18,8/27/2018,,7,0.01,,,5.2,0.1,mg/L,AS19_082118_20mM_SHA,8/22/2018,,2,0.09,,,4.3,2,mg/L,,,,,,,,,,8242018,8/24/2018,3,NA,,,14.5,6.2,mg/L,8212018,8/21/2018,1,NA,,,15,1,NTU,8/21/2018,,8232018,8/23/2018,3,NA,,3.5,1,,,,,,,,,0.013333333,0
2013306,4/28/2021,NRS18_MO_10002,8/21/2018,2,TPL,Region_07,MO,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,21,0.001,,,0.025,0.004,mg N/L,180823.1,8/23/2018,2,,,,3749.66,,uEQ/L,3519.1,2/4/2019,,167,0.012,,,56.472,0.024,mg/L,180824.1,8/24/2018,,3,0.003,,,17.775,0.005,mg/L,180823,8/23/2018,2,,,,23,,APHA PT-CO,180823.1,8/23/2018,2,,,,483.2,2,uS/cm at 25 C,180831.1,8/31/2018,,10,0.026,,,5.14,0.2,mg/L,3519.1,2/4/2019,,167,0.001,,,23.404,0.002,mg/L,180824.1,8/24/2018,,3,2.00E-04,,,1.5444,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,3,1.00E-04,ND,MDL (0.0001),,0.001,,180906.1,9/6/2018,180905.1,9/5/2018,15,0.008,,,2.084,mg N/L,16,0.008,,,2.519,0.02,mg N/L,180823.1,8/23/2018,2,,,8.69,Std. Units,3519.1,2/4/2019,,167,0.027,,,3.076,0.054,mg/L,180906.1,9/6/2018,180905.1,9/5/2018,15,0.5,,,70.471,ug/L,16,0.5,,,175.588,4,ug/L,180826.2,8/26/2018,5,0.003,,,4.156,0.01,mg/L,3519.1,2/4/2019,,167,0.003,,,10.864,0.006,mg/L,180824.1,8/24/2018,,3,0.001,,,34.979,0.08,mg/L,,,,,,,,,,180824.1,8/24/2018,3,,,,60,2,mg/L,180823.1,8/23/2018,2,,,,38.1,1,NTU,8/23/2018,,180912.1,9/12/2018,22,0.24,,79.84,,ug/L,250,,,,,,,0.014346083,0.00879559
2013307,4/28/2021,NRS18_VA_10001,8/21/2018,1,SAP,Region_03,VA,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,21,0.001,,,0.014,0.004,mg N/L,180822.1,8/22/2018,1,,,,1300.83,,uEQ/L,3519.1,2/4/2019,,167,0.012,,,23.814,0.024,mg/L,180824.1,8/24/2018,,3,0.003,,,20.994,0.005,mg/L,180822,8/22/2018,1,,,,20,,APHA PT-CO,180822.1,8/22/2018,1,,,,260.2,2,uS/cm at 25 C,180829.1,8/29/2018,,8,0.026,,,2.46,0.2,mg/L,3519.1,2/4/2019,,167,0.001,,,9.778,0.002,mg/L,180824.1,8/24/2018,,3,2.00E-04,,,1.942,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,3,1.00E-04,,,0.0013,0.001,mg N/L,180829.2,8/29/2018,180828.1,8/28/2018,7,0.008,,,2.223,mg N/L,8,0.008,,,2.193,0.02,mg N/L,180822.1,8/22/2018,1,,,7.95,Std. Units,3519.1,2/4/2019,,167,0.027,,,3.526,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,7,0.5,,,20.005,ug/L,8,0.5,,,24.373,4,ug/L,180826.3,8/26/2018,5,0.003,,,12.841,0.01,mg/L,3519.1,2/4/2019,,167,0.003,,,10.043,0.006,mg/L,180824.1,8/24/2018,,3,0.001,,,18.193,0.08,mg/L,,,,,,,,,,180824.1,8/24/2018,3,,L,LRL (2),0.5,2,mg/L,180822.1,8/22/2018,1,,L,LRL (1),0.86,1,NTU,8/22/2018,,180906.1,9/6/2018,16,0.24,,0.71,,ug/L,2000,,,,,,,0.089976613,0.079678333
2013308,4/28/2021,NRS18_GA_10006,8/21/2018,1,SAP,Region_04,GA,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,21,0.001,,,0.008,0.004,mg N/L,180822.1,8/22/2018,1,,,,427.01,,uEQ/L,3519.1,2/4/2019,,167,0.012,,,5.779,0.024,mg/L,180824.1,8/24/2018,,3,0.003,,,2.202,0.005,mg/L,180822,8/22/2018,1,,,,4,,APHA PT-CO,180822.1,8/22/2018,1,,,,56.3,2,uS/cm at 25 C,180831.1,8/31/2018,,10,0.026,,,1.33,0.2,mg/L,3519.1,2/4/2019,,167,0.001,,,1.598,0.002,mg/L,180824.1,8/24/2018,,3,2.00E-04,,,0.4212,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,3,1.00E-04,L,EST,8.00E-04,0.001,mg N/L,180906.1,9/6/2018,180905.1,9/5/2018,15,0.008,,,0.511,mg N/L,16,0.008,,,0.559,0.02,mg N/L,180822.1,8/22/2018,1,,,7.62,Std. Units,3519.1,2/4/2019,,167,0.027,,,1.292,0.054,mg/L,180906.1,9/6/2018,180905.1,9/5/2018,15,0.5,,,14.301,ug/L,16,0.5,,,25.216,4,ug/L,180826.3,8/26/2018,5,0.003,,,9.792,0.01,mg/L,3519.1,2/4/2019,,167,0.003,,,2.564,0.006,mg/L,180824.1,8/24/2018,,3,0.001,,,0.809,0.08,mg/L,,,,,,,,,,180824.1,8/24/2018,3,,,,3.7,2,mg/L,180822.1,8/22/2018,1,,,,5.25,1,NTU,8/22/2018,,180912.1,9/12/2018,22,0.24,,1.05,,ug/L,250,,,,,,,0.022168464,0.01670368
2013309,4/28/2021,NRS18_WY_10697,8/20/2018,1,NPL,Region_08,WY,,,WRS,WATER,REGULAR,1,0,180911.1,9/11/2018,,22,0.001,,,0.008,0.004,mg N/L,180822.1,8/22/2018,2,,,,1592.74,,uEQ/L,3519.1,2/4/2019,,168,0.012,,,25.06,0.024,mg/L,180824.1,8/24/2018,,4,0.003,,,2.281,0.005,mg/L,180822,8/22/2018,2,,,,8,,APHA PT-CO,180822.1,8/22/2018,2,,,,250.2,2,uS/cm at 25 C,180829.1,8/29/2018,,9,0.026,,,4.2,0.2,mg/L,3519.1,2/4/2019,,168,0.001,,,9.333,0.002,mg/L,180824.1,8/24/2018,,4,2.00E-04,L,EST,0.0013,0.0025,mg N/L,,,,,,,,,,180824.1,8/24/2018,,4,1.00E-04,ND,MDL (0.0001),,0.001,,180829.2,8/29/2018,180828.1,8/28/2018,8,0.008,,,0.268,mg N/L,9,0.008,,,0.189,0.02,mg N/L,180822.1,8/22/2018,2,,,8.19,Std. Units,3519.1,2/4/2019,,168,0.027,,,1.387,0.054,mg/L,180829.2,8/29/2018,180828.1,8/28/2018,8,0.5,,,9.115,ug/L,9,0.5,,,21.65,4,ug/L,180826.3,8/26/2018,6,0.003,,,11.33,0.01,mg/L,3519.1,2/4/2019,,168,0.003,,,11.935,0.006,mg/L,180824.1,8/24/2018,,4,0.001,,,39.923,0.08,mg/L,,,,,,,,,,180824.1,8/24/2018,4,,,,5.3,2,mg/L,180822.1,8/22/2018,2,,,,5.98,1,NTU,8/22/2018,,180906.1,9/6/2018,17,0.24,,0.62,,ug/L,2000,,,,,,,0.008729792,6.00462E-05
