SITE_ID,YEAR,VISIT_NO,SAMPLED,DATE_COL,DATECHEM,TEAM_ID,SAMP_LOC,PHSTVL,PHSTVLF,COND,CONDF,ANC,ANCF,TURB,TURBF,TSS,TSSF,COLOR,COLORF,DOC,DOCF,DIC,DICF,PTL,PTLF,SE,SEF,CA,CAF,MG,MGF,NA,NAF,K,KF,NH4,NH4F,SO4,SO4F,NO3,NO3F,CL,CLF,NTL,NTLF,ZN,ZNF,SIO2,SIO2F,H,OH,HCO3,CO3,ALKCALC,CATSUM,ANSUM,ANDEF,SOBC,IONSTR,BALANCE,ORGION,CONCAL,CONDHO,DAY_SHIP,COM_LAB,COM_FLD,COM_IM ,NtoP,NO3toP
WMTP99-0699,2002,1,Yes,10/10/2002,10/10/2002,1,F,8.39,H5,4891,H201,3123.4,H8,2.41,H5,9.68, ,5,H5,0.89, ,37.38,H5,13,H36,0,H567,25508.9, ,11064.5, ,21979.5, ,2048.2, ,0.4, ,52624.5, ,0, ,8711.2, ,154,H36,7.7,H183,16.69,H8,0.004073803,2.454708916,3049.510126,70.18573387,3121.95826,60601.47098,64457.87202,-3856.401045,60601.14906,0.196431793,-1.541828444,8.916820382,8370.461904,5452.634355,5, , ,  ,11.84615385,0
WMTP99-0701,2002,1,Yes,07/10/2002,07/10/2002,1,F,8.07,H5,139, ,1008.7, ,0.165,H5,1.04, ,5,H5,0.77, ,11.91, ,7, ,0.1,H605,761, ,485.4, ,106.9, ,39.5, ,0.8, ,371,H50,353.4,H50,13.5,H50,129, ,0,H272,15.13, ,0.00851138,1.174897555,967.5502367,10.65840673,979.3198475,1393.620483,1369.646021,23.97446149,1392.870352,0.003823762,0.433806538,7.632681135,154.4499278,135.8758589,2, , ,  ,18.42857143,0.814285714
WMTP99-0702,2002,1,Yes,07/20/2002,07/20/2002,1,F,8.44,H4,248,H9,1995.4,H9,1.72,H5,11.48, ,5,H4,1.29, ,24.13,H5,19, ,0.3,H599,1605.8, ,751.2, ,189.2, ,43, ,0.8,H30,592.3,H51,130.2,H41,35.3,H41,134, ,0,H263,13.65,H11,0.003630781,2.754228703,1967.280395,50.80249358,2020.723484,2589.924359,2650.565317,-60.64095846,2589.230692,0.007120467,-0.578581032,12.83804956,289.839427,255.0566492,4, , ,  ,7.052631579,0.110526316
WMTP99-0703,2003,1,Yes,08/20/2003,08/20/2003,1,GF,7.82,H8,82, ,586.8,H9,0.099,H7,0.1,H15,5,H7,0.76,H15,6.63,H9,0, ,0.3,H193,409.8, ,338.2, ,49.3, ,14, ,0.1, ,209,H16,440.2,H16,6.8,H17,161, ,23, ,5.37,H11,0.015135613,0.660693448,532.2644839,3.297207308,536.1771643,811.4607272,759.1636246,52.29710253,811.307388,0.002225756,1.664850748,7.553099056,87.60314514,77.71852,7, ,L,  ,NA,NA
WMTP99-0704,2002,1,Yes,08/20/2002,08/20/2002,1,K,7.28, ,34, ,282.7, ,7.06, ,0.72,H15,15, ,2.55,H16,3.64, ,25, ,0,H588,118.2, ,80.7, ,127.8, ,25.3, ,0.5, ,30.6,H16,223.2,H16,10.7,H16,185, ,3,H232,22.65, ,0.052480746,0.190546072,270.9604158,0.484088333,271.565856,352.4324054,316.5282302,35.90417518,351.884922,0.000679411,2.683579068,25.11768221,35.26387081,33.53273534,2, ,SAMPLED IN BEST AVAILABLE POOL. MOST OF REACH TOO SHALLOW TO SAMPLE.,  ,7.4,0.144
WMTP99-0705,2002,1,Yes,10/22/2002,10/22/2002,1,F,7.42, ,42, ,278.4, ,0.225,H6,0.12, ,5,H6,1.54, ,3.38,H6,9, ,0,H555,175.1, ,54.7, ,157.9, ,12.1, ,0.4,H39,15.5, ,0, ,119.2, ,64, ,0.3, ,16.98,H10,0.03801894,0.263026799,258.8887463,0.638457419,259.7370437,400.2403745,394.4589886,5.781385974,399.85005,0.000766262,0.363746735,15.24456162,44.10248975,42.84271718,3, , ,  ,7.111111111,0
WMTP99-0707,2003,1,Yes,08/11/2003,08/11/2003,1,FG,8.64,H7,348,H185,3296.6,H8,0.515,H7,2.6, ,0,H7,1.48, ,40.13,H4,7,H29,1.3,H250,2382.7, ,1267.7, ,155.6, ,29.8, ,0.9, ,401.2,H24,266.6,H24,13.3,H24,210,H29,10,H184,5.19, ,0.002290868,4.365158322,3257.877543,133.3378726,3395.391697,3836.53006,3814.322193,22.20786604,3835.82487,0.010102855,0.145133283,14.77739194,407.4176091,368.3693823,4, , ,  ,30,0.614285714
WMTP99-0712,2003,1,Yes,07/28/2003,07/28/2003,1,FG,8.62,H7,436, ,4609.4, ,29.7,H7,149.9, ,10,H4,3.34,H17,49.46,H18,196,H32,0,H213,2072.8, ,2172.6, ,563.3, ,33.2, ,1,H30,402.2,H37,4290.4,H37,41.2,H37,1633,H32,8,H198,8.5,H11,0.002398833,4.168693835,4017.97283,157.0455957,4178.942823,4842.812667,4691.858579,150.9540875,4841.98354,0.011974425,0.791606148,33.34713273,499.9101547,453.2656413,4, ,L,  ,8.331632653,0.353061224
WMTP99-0713,2002,1,Yes,09/02/2002,09/02/2002,1,G,8.17,H7,100,H239,827.9, ,0.194,H7,0.68,H17,5,H7,0.71, ,10.03,H10,1, ,0,H576,651.2, ,236.8, ,60.3, ,34.4, ,0.4, ,154.1,H10,359.6,H10,6.9,H10,128, ,10.8,H220,5.82,H9,0.00676083,1.479108388,816.9954773,11.33022196,829.756205,983.0697714,996.612297,-13.54252561,982.730696,0.002569949,-0.342037892,7.108364432,107.5579103,98.6492459,7, , ,  ,128,5.8
WMTP99-0715,2003,1,Yes,08/08/2003,08/08/2003,1,FG,8.26,H6,342, ,3512, ,19.6,H6,11.4, ,15,H6,3.99, ,42.5,H5,68, ,0,H311,1861.3, ,653.9, ,1319.7, ,78.8, ,4.7, ,249.4,H27,440.2,H27,47.4,H27,629, ,0,H187,13.27, ,0.005495409,1.819700859,3466.254344,59.13971026,3526.985628,3918.007202,3831.162435,86.84476639,3913.683776,0.00811021,0.560348853,39.78174828,400.3332919,367.403796,4, , ,  ,9.25,0.104411765
WMTP99-0716,2002,1,Yes,07/24/2002,07/24/2002,1,F,7.57, ,173, ,1767.5, ,0.378,H5,0.44, ,5,H5,2.06, ,22.84,H5,1, ,0,H616,938.1, ,789.2, ,111.4, ,23.1, ,0.4, ,99.9,H41,0,H41,9.6,H41,71, ,6.3,H259,11.11, ,0.026915348,0.371535229,1790.130226,6.235961012,1796.591363,1862.199753,1906.263763,-44.06400966,1861.752328,0.004634408,-0.584641585,20.38557735,193.824354,182.6364,2, , ,  ,71,0
WMTP99-0719,2002,1,Yes,09/22/2002,09/22/2002,1,F,7.92, ,474, ,4186.3, ,1.08, ,1.4, ,10, ,3.28, ,45.84,H4,102, ,0.1,H563,2295.9, ,1540, ,1201.4, ,245.1, ,0.7, ,928.4,H10,124, ,140.8, ,194, ,3.7,H201,20.31, ,0.012022644,0.831763771,3702.333349,28.87315781,3731.779049,5283.043261,4803.23018,479.8130807,5282.345908,0.012232898,2.378544879,32.58732026,548.4621919,485.1580826,2, , ,  ,1.901960784,0.019607843
WMTP99-0721,2002,1,Yes,08/23/2002,08/23/2002,1,F,7.7,H4,49, ,473.6, ,0.638,H4,2.04, ,10,H4,1.67, ,5.53,H7,13, ,0,H586,267, ,122.2, ,84.9, ,12.4, ,0.6, ,14.2,H13,0,H13,9.9,H13,113, ,10.5,H230,9.55, ,0.019952623,0.501187234,439.3613138,2.064622138,441.881928,486.9644559,465.9568232,21.0076327,486.387378,0.001084485,1.102275349,16.61066367,49.23860181,47.72371523,4, , ,  ,8.692307692,0
WMTP99-0722,2002,1,Yes,09/06/2002,09/06/2002,1,E,7.91,H4,363, ,3931.8, ,0.128,H6,0.6, ,5,H6,1.19, ,46.34,H6,1, ,0,H572,2598.8, ,1299.8, ,17.1, ,20.5, ,0.3, ,62, ,669.6, ,11.9, ,176, ,32.6,H216,4.49,H21,0.012302688,0.812830516,3740.945784,28.51019448,3770.006487,3936.472871,3854.963672,81.50919866,3936.186186,0.009879353,0.52306913,11.80278378,401.0740868,376.0464448,4, , ,  ,176,10.8
WMTP99-0723,2002,1,Yes,07/07/2002,07/07/2002,1,F,8.42,H4,169,H9,1688,H8,0.306,H4,2.08, ,15,H4,2.06, ,20.2,H5,7, ,0,H608,1344.8, ,416.2, ,83.8, ,30.5, ,0.8, ,79.1,H68,86.8,H68,7.9,H68,99, ,10.7,H275,12.98,H8,0.003801894,2.630267992,1647.806269,40.63730667,1690.981232,1875.937558,1779.515324,96.42223392,1875.239932,0.004648824,1.318882188,20.58359534,192.2188803,181.1051537,3, , ,  ,14.14285714,0.2
WMTP99-0727,2002,1,Yes,08/24/2002,08/24/2002,1,G,8.55, ,398, ,3882, ,1.55, ,14.56, ,5, ,0.91, ,42.03,H6,11, ,0.1,H585,2103.8, ,2170.9, ,178.4, ,53.4, ,0.6, ,583.4,H15,706.8,H12,77.3,H12,306, ,0,H229,9.77, ,0.002818383,3.548133892,3420.610365,113.7947885,3537.745522,4506.976905,4210.036527,296.940378,4506.489196,0.01181636,1.70322313,9.103661259,467.2533735,419.2743638,3, , ,  ,27.81818182,1.036363636
WMTP99-0729,2002,1,Yes,10/12/2002,10/12/2002,1,J,8.32, ,263, ,2664.6, ,0.274, ,0.44, ,10, ,1.96, ,32.84, ,18,H34,0,H545,1623.7, ,550, ,484.6, ,148.1, ,0.4, ,238.5, ,0, ,39.1, ,115,H34,0,H181,18.32, ,0.004786301,2.089296131,2679.467609,52.4888765,2733.875385,2806.783333,3011.651944,-204.8686104,2806.455432,0.00660642,-1.760512927,19.54160539,306.2436928,281.7374355,3, , ,  ,6.388888889,0
WMTP99-0731,2002,1,Yes,09/19/2002,09/19/2002,1,F,8.12,H5,877, ,2112.5, ,546,H5,266.5, ,25,H5,5.27, ,23.5,H7,534,H140,0,H566,1551.9, ,1067, ,6059.3, ,153.3, ,2.8, ,6469.2,H20,508.4, ,306.1,H13,1060, ,4.5,H204,13.04,H8,0.007585776,1.318256739,1912.557435,23.63922594,1937.388083,8834.086425,8721.011348,113.0750772,8831.467184,0.022445074,0.322057668,52.50396112,1092.238087,775.1826246,5,"Very turbid sample, TP digested at 5X dilution, 1X digestate cloudy. No interference noticed for TN.",VERY MUDDY WATER,  ,1.985018727,0.015355805
WMTP99-0733,2004,1,Yes,09/04/2004,09/04/2004,1,F,7.98,H5,648,H9,2202.8, ,101,H6,194.4, ,10,H4,2.16, ,25.87,H6,191, ,0.3, ,1913.7, ,2262, ,2187.3, ,42.6, ,2.1, ,4580.6,H18,1773.2,H18,44.8,H18,723, ,2, ,4.56,H10,0.010471286,0.954992586,2095.280958,18.76121808,2114.851521,6407.636708,6769.008909,-361.3722009,6405.650494,0.019750894,-1.371260226,21.49746981,813.1555184,600.8321246,4, , ,  ,3.785340314,0.14973822
WMTP99-0745,2002,1,Yes,10/23/2002,10/23/2002,1,F,7.66, ,61, ,527.4, ,1.95,H5,2.68, ,10,H5,2.02, ,6.01,H5,53, ,0.1,H554,222.4, ,184.6, ,163.5, ,41.7, ,0.5,H38,39.4, ,204.6, ,62.1, ,226, ,0, ,28.62,H9,0.021877616,0.45708819,475.98525,2.039915888,478.4321807,612.6419096,583.3155384,29.32637113,612.131494,0.001270517,1.226062482,20.02683751,63.84407813,61.08446473,2, , ,  ,4.264150943,0.062264151
WMTP99-0748,2003,1,Yes,07/17/2003,07/17/2003,1,FG,6.95,H5,465,H11,3444.6, ,2.43,H5,18.2,H18,15,H8,5.8,H26,42.55,H7,420, ,0.1,H222,2620.7, ,1076, ,1308.4, ,109.5, ,3.9, ,1197.8,H54,130.2,H47,279.8,H54,788, ,0,H209,40.92, ,0.112201845,0.089125094,2828.004053,2.363190832,2830.150868,5118.638946,4310.176189,808.4627567,5114.688828,0.012059756,4.287191684,56.63759171,530.132532,461.4597675,5, , ,  ,1.876190476,0.005
WMTP99-0749,2002,1,Yes,09/04/2002,09/04/2002,1,F,8.38,H5,270, ,2832, ,0.253,H5,1.8,H15,0,H5,1.12, ,36.62,H8,4, ,0,H574,2037.9, ,572, ,397.3, ,6.8, ,0.8, ,228.3,H8,285.2,H8,13.2,H8,138, ,6.5,H218,9.85, ,0.004168694,2.398832919,2987.450086,67.19228703,3056.852653,3014.672687,3303.162211,-288.4895239,3013.96751,0.007517067,-2.283135984,11.15204726,329.6326066,302.8084054,5, , ,  ,34.5,1.15
WMTP99-0793,2003,1,Yes,08/22/2003,08/22/2003,1,FG,8.15,H6,1369, ,4109, ,14.2,H5,11.6,H18,15,H5,4.33, ,43.27,H7,107, ,0.3,H191,4321.3, ,3882.9, ,7116.3, ,136.3, ,6.4, ,10768.5,H18,0,H14,281.8,H18,616, ,25, ,13.54,H9,0.007079458,1.412537545,3523.347039,46.66316451,3571.185664,15462.69816,14621.72108,840.9770751,15456.75745,0.043571286,1.397695379,43.14531218,1872.903878,1335.539437,5,Re-run at least once for ANC,L,  ,5.757009346,0
WMTP99-0801,2003,1,Yes,07/24/2003,07/24/2003,1,FG,8.26,H7,221, ,2198.9, ,0.169,H7,1.4, ,0,H8,0.95,H21,27.84,H20,18, ,0,H217,1949.1, ,254.7, ,61, ,20.3, ,0.5,H34,156.8,H41,620,H41,9.9,H41,203, ,10,H202,10.04, ,0.005495409,1.819700859,2270.600493,38.73998902,2311.015127,2285.554678,2487.801483,-202.2468048,2285.09122,0.005985625,-2.118496903,9.471844829,252.089018,234.0303038,5, , ,  ,11.27777778,0.555555556
WMTP99-0803,2003,1,Yes,07/26/2003,07/26/2003,1,FG,8.43,H5,323, ,3519.3, ,2.59,H5,3.5, ,0,H6,1.81,H19,41.74,H18,19, ,0,H215,2436.6, ,917.2, ,187.6, ,18.5, ,0.4,H32,93.1,H39,0,H39,29.1,H39,163, ,12,H200,7.82, ,0.003715352,2.691534804,3403.990179,85.9027494,3492.36977,3560.346267,3614.702044,-54.35577678,3559.965126,0.008886767,-0.37878335,18.05998836,371.9298925,346.5303263,3, , ,  ,8.578947368,0
WMTP99-0804,2004,1,Yes,07/10/2004,07/10/2004,1,F,8.24,H5,1179, ,9000.6,H10,0.753, ,3.2,H16,35,H4,10.57, ,103.6,H5,15, ,0, ,2139.9, ,2984.8, ,7677.3, ,141.2, ,1.4, ,4285.8,H31,0,H12,446.2,H31,721, ,14, ,5.58, ,0.005754399,1.737800829,8447.861871,137.6466258,8586.671304,12944.45046,13319.26222,-374.8117604,12943.1313,0.027454066,-0.713554411,105.3758584,1443.130821,1147.651957,3, ,TRANSECT E & F.   .,  ,48.06666667,0
WMTP99-0836,2003,1,Yes,07/29/2003,07/29/2003,1,FG,7.91,H6,131, ,1270.5, ,0.188,H6,0.7, ,0, ,1.1,H16,15.95,H15,3,H31,0,H212,865.3, ,364.6, ,117.9, ,12.1, ,0.6,H29,66.4,H36,266.6,H36,4.5,H36,83,H31,0,H197,6.03,H10,0.012302688,0.812830516,1287.509554,9.812264035,1298.041628,1360.448345,1373.346808,-12.89846382,1359.887278,0.00332603,-0.23590765,10.9413974,141.7201819,134.3928285,3, , ,  ,27.66666667,1.433333333
WMTP99-0837,2004,1,Yes,07/24/2004,07/24/2004,1,A,8.15,H5,178,H10,1897.8,H9,0.125,H6,1.4,H16,5,H5,1.11, ,23.04, ,1, ,0, ,1298.2, ,557.3, ,65.9, ,5.8, ,0.4, ,43.5, ,179.8, ,1.4, ,43, ,22, ,5.89, ,0.007079458,1.412537545,1876.078479,24.84676012,1902.214834,1927.542184,1950.117476,-22.57529286,1927.201754,0.004824628,-0.291094305,11.06034562,199.7733537,189.6016376,3, , ,  ,43,2.9
WMTP99-0838,2003,1,Yes,08/10/2003,08/10/2003,1,FG,7.94,H4,218, ,2298.9,H8,0.502,H4,5.6, ,5,H4,2.03, ,28.46, ,18, ,0,H309,1432.6, ,442.7, ,560.7, ,15.4, ,0.4, ,70.2,H25,130.2,H25,13.3,H25,174, ,0,H185,26.77, ,0.011481536,0.87096359,2300.848443,18.78913463,2320.346934,2451.931669,2406.070461,45.8612081,2451.509764,0.005375491,0.472017167,20.19705915,248.5523973,234.4468487,2, ,L.,  ,9.666666667,0.116666667
WMTP99-0839,2003,1,Yes,07/25/2003,07/25/2003,1,FG,7.84,H6,81, ,766.4, ,0.262,H6,2, ,0,H7,0.82,H20,9.35,H19,4, ,0,H216,578.3, ,120.7, ,73.3, ,10.3, ,0.2,H33,44.3,H40,179.8,H40,7.1,H40,78, ,0,H201,9.11, ,0.014454398,0.691830971,751.6339464,4.875567256,757.1419837,782.887685,811.4550446,-28.56735956,782.666238,0.001919538,-0.895897696,8.151016101,83.4527173,79.55073151,4, ,L,  ,19.5,0.725
WNDP99-0505,2000,1,Yes,08/08/2000,08/08/2000,1,H,8.56, ,848, ,4460.3, ,15.5, ,40.3,H191,15, ,8.58, ,49.28,H5,228,H56,1,H392B,3717.6, ,3046.2,H181,2472.4, ,299.9,H184,1.2,H29,4463.8, ,179.8, ,430.4, ,954,H56,46,H447,28.29, ,0.003,3.631,4010.089,136.513,4149.98,9537.16,9047.32,489.84,9536.13,0.026,2.64,85.65,1107.25,876,2, , ,  ,4.184210526,0.012719298
WNDP99-0506,2000,1,Yes,08/07/2000,08/07/2000,1,X,8.43, ,1344, ,6929.5, ,105, ,180.1,H192,35, ,13.67, ,76.86,H7,326,H57,2,H393,6319.2, ,4896.2,H182,4532.5,H245,381.6,H185,2.4,H30,8094, ,1773.2, ,748, ,1994,H57,119,H448,24.96,H8,0.004,2.692,6268.105,158.181,6428.56,16131.6,15299.54,832.06,16129.46,0.045,2.65,136.4,1887.55,1453.58,3, , ,  ,6.116564417,0.087730061
WNDP99-0507,2000,1,Yes,07/20/2000,07/20/2000,1,X,8.68,H4,3043,H8,4384.2,H8,4.4,H5,9.4,H201,30,H7,14.05, ,54.13,H5,17,H36,1,H407B,3721.7, ,11920.2,H200,20665.7,H264,292.4,H202,1.8, ,29786.3,H13,0,H8,538.2,H13,948,H36,8,H463,0.74, ,0.002,4.786,4387.933,196.915,4589.37,36601.45,34914.15,1687.31,36600.01,0.104,2.36,140.3,4543.46,2922.29,5, ,COLLECTED SAMPLE BETWEEN TRANSECTS E AND F BECAUSE OF WATER DEPTH AT X LOCATION.,  ,55.76470588,0
WNDP99-0508,2000,1,Yes,06/28/2000,06/28/2000,1,X,8.47,H5,1737,H10,5892,H8,1.42,H5,24.2,H215,10,H5,10.02, ,51.05,H7,30,H36,1,H428B,3821.2,H194,4999.7,H222,11183.2,H285,237.6,H224,2.4, ,13564,H8,0, ,333.4,H8,814,H36,2.5,H485B,1.47, ,0.003,2.951,4161.276,115.145,4279.11,20243.91,18176.79,2067.13,20241.8,0.053,5.38,99.99,2374.21,1661.84,3, , ,  ,27.13333333,0
WNDP99-0514,2000,1,Yes,07/22/2000,07/22/2000,1,X,8.52, ,1472, ,5932.6, ,323, ,4270,H201,70,H5,9.84, ,54.23,H4,5418,H41,1,H405B,1468.2, ,1232.4,H198,10991.8,H262,187.3,H261,5.5, ,8772.3,H11,1060.2, ,211.8, ,3500,H41,7,H461,8.24, ,0.003,3.311,4416.774,137.127,4556.93,13884.52,13558.47,326.05,13879.8,0.031,1.19,98.21,1643.09,1158.13,3, , ,  ,0.645994832,0.003156146
WNDP99-0529,2000,1,Yes,07/18/2000,07/18/2000,1,X,8.45, ,2433, ,6547.8, ,6.08, ,9.2,H203,25, ,13.14, ,84.53,H7,34,H38,1,H409B,4268.3, ,6961.6,H202,16985.8,H266,227.7,H265,1.6, ,20681.3,H15,0, ,361.6,H15,926,H38,7,H465,4.67,H8,0.004,2.818,6892.135,182.126,7076.62,28444.91,28120.02,324.89,28443.47,0.076,0.57,131.12,3492.27,2350.83,3, , ,  ,27.23529412,0
WNDP99-0531,2000,1,Yes,06/27/2000,06/27/2000,1,X,8.09, ,1939,H8,7917.3,H8,3.34, ,68.7,H199,25, ,15.73,H31,57.63,H8,214,H37,1,H429B,8171.3,H195,9076.4,H289,7061.3,H217,135.5,H225,5.4, ,15709.3,H9,310,H8,229.9,H8,1128,H37,14,H486,13.97,H8,0.008,1.23,4685.745,54.05,4740.71,24449.66,20685.22,3764.44,24444.54,0.072,8.34,156.68,2818.11,2019.42,2, , ,  ,5.271028037,0.023364486
WNDP99-0539,2000,1,Yes,07/19/2000,07/19/2000,1,X,8.42, ,1343, ,6193.9, ,12.9, ,26.3,H197,20, ,9.75, ,76.96,H6,65, ,1,H407B,2927.2, ,3630.7,H201,7937.7,H195,224.1,H264,1.2, ,8619.3,H14,130.2, ,214.4, ,976, ,6,H464,9.73, ,0.004,2.63,6276.829,154.796,6433.84,14720.81,15270.03,-549.22,14719.73,0.038,-1.83,97.28,1777.2,1307.42,2, , ,  ,15.01538462,0.032307692
WNDP99-0544,2000,1,Yes,07/23/2000,07/24/2000,1,X,8.56, ,1293, ,6254.9, ,2.32, ,2,H198,15, ,8.1, ,74.53, ,18,H32,1,H403B,2711.2, ,3302.5,H196,10382.9,H365,164.8,H259,1.9, ,7626.4,H29,130.2, ,150.3, ,569,H32,9,H459,4.02, ,0.003,3.631,6064.772,206.459,6274.47,16563.08,14053.71,2509.38,16561.45,0.036,8.2,80.86,1775.12,1325.22,1, , ,  ,31.61111111,0.116666667
WNDP99-0546,2000,1,Yes,08/08/2000,08/08/2000,1,G,7.76, ,2631, ,2413.2, ,180, ,390.7,H191,35, ,5.21, ,29.23,H5,1485,H56,1,H392B,3158.3, ,3460.2,H181,18186.4,H245,462.3,H184,19.8,H29,3711.8, ,1413.6, ,19232.3,H14,5133,H56,51,H447,11.6, ,0.017,0.575,2336.16,12.604,2349.17,25286.37,25316.24,-29.87,25267.13,0.041,-0.06,51.75,3188.51,2630.36,2, , ,  ,3.456565657,0.015353535
WNDP99-0570,2000,1,Yes,08/10/2000,08/10/2000,1,X,8.22, ,713, ,6012.2,H113,6.92,H5,27.9,H194,55,H5,16.49, ,68.47,H4,541,H54,1,H391B,2711.1, ,2804.8, ,2102.6, ,421.5,H182,2.6, ,1590.6,H8,266.6, ,242.9, ,2065,H54,51,H445,22.15, ,0.006,1.66,5581.924,86.857,5670.06,8042.39,7508.23,534.16,8040.01,0.019,3.44,164.38,847.16,732.85,2, , ,  ,3.817005545,0.007948244
WNDP99-0574,2001,1,Yes,07/27/2001,07/27/2001,1,F,8.36, ,921,H10,5121.5, ,2.39, ,0.3, ,50, ,11.21, ,43.83,H6,154, ,0,H215,1935.2,H246,2690.6,H236,4889.2,H230,233.4,H221,2.3, ,5030.1,H13,0,H11,143.6,H11,809, ,17,H246,6.42, ,0.004,2.291,3575.895,76.807,3654.76,9750.43,8828.67,921.75,9748.37,0.024,4.96,111.82,1098.11,837.72,3, ,VERY HEAVY RAIN THE NIGHT BEFORE,  ,5.253246753,0
WNDP99-0575,2001,1,Yes,07/10/2001,07/10/2001,1,F,8.42, ,1019, ,4897.1, ,4.28, ,20.8, ,15, ,6.82, ,54.4,H6,112, ,0,H218,4933.8,H263,3768.8,H204,3047,H217,224.5,H238,1.8, ,5900.6,H24,1550,H14,558.8,H24,1250, ,7,H263,17.58,H9,0.004,2.63,4436.844,109.419,4548.61,11975.56,11033.24,942.32,11973.98,0.034,4.1,68.05,1384.37,1080.37,2,air in cubitainer,WATER CHEMISTRY COLLECTED ON 07/10/2001.,  ,11.16071429,0.223214286
WNDP99-0576,2001,1,Yes,06/19/2001,06/19/2001,1,E,8.28, ,671, ,5347.2,H8,11.2, ,70.1,H16,35, ,17.13, ,59.98,H7,144, ,0,H228,2520.1,H252,3581.9,H286,998.5,H223,262.9,H285,4.7, ,1865.5,H55,353.4, ,216.3, ,1701, ,7,H284,10.84,H8,0.005,1.905,4892.643,87.41,4981.63,7367.74,7069.48,298.25,7363.43,0.019,2.07,170.81,799.67,682.62,2,air in cubitainer, ,  ,11.8125,0.039583333
WNDP99-0578,2001,1,Yes,07/24/2001,07/24/2001,1,G,8.4, ,3071,H9,8237.1,H8,33, ,68.9, ,35, ,20.44, ,80.39,H7,169, ,0,H218,5821.5,H249,8177.4,H245,21484.9,H233,273.1,H224,2.2, ,28351,H21,0,H20,256.7,H20,1723, ,6,H249,3.53, ,0.004,2.512,6557.555,154.44,6714.07,35758.79,35322.19,436.6,35756.82,0.099,0.61,203.92,4466.46,2895.52,2, , ,  ,10.19526627,0
WNDP99-0580,2001,1,Yes,07/12/2001,07/12/2001,1,C,8.11,H4,1168, ,7253.6, ,17.9,H4,46.8, ,25,H4,13.63, ,81.21,H7,390,H64,1,H216,5009.6,H260,4492.1,H232,3561.4,H215,415.6,H236,17.6, ,5240.2,H25,1283.4,H12,722.6,H25,2215,H64,6,H261,28.07,H8,0.008,1.288,6606.528,79.798,6687.16,13495.27,12671.14,824.13,13478.77,0.035,3.15,135.78,1521.73,1223.87,4,a lot of air in cubitainer, ,  ,5.679487179,0.053076923
WNDP99-0582,2001,1,Yes,07/11/2001,07/11/2001,1,H,7.89, ,1229, ,7125.2, ,2.22, ,4.4, ,30, ,17.07, ,82.47,H5,214, ,0,H217,7300.4,H271,6425.7,H233,999.1,H216,102.9,H236,9.1, ,7622.2,H23,533.2,H13,104.4,H13,1645, ,0,H262,14.72,H8,0.013,0.776,6649.809,48.398,6698.52,14836.83,14434.12,402.72,14828.09,0.047,1.38,169.76,1750.73,1350.66,1,air in cubitainer, ,  ,7.686915888,0.040186916
WNDP99-0584,2001,1,Yes,07/26/2001,07/26/2001,1,F,8.48,H4,1563,H11,5894.7, ,15.8,H4,54.7, ,40,H4,11.41, ,56.33,H7,129, ,0,H216,3528.7,H247,4635.6,H237,8524,H231,315.7,H222,1.5, ,11444.3,H14,0,H12,374.9,H14,1089, ,14,H247,5.72,H8,0.003,3.02,4591,129.995,4723.72,17005.35,16543.21,462.14,17004.04,0.046,1.38,113.87,2063.78,1472.54,4, , ,  ,8.441860465,0
WNDP99-0605,2001,1,Yes,06/11/2001,06/11/2001,1,F,8.56, ,2166, ,5830.8, ,9.81, ,32, ,5, ,11.15, ,64.62,H5,60,H31,0,H236,4305.2,H260,7684.5,H294,13095.5,H246,313.8,H226,1.1, ,19113.6, ,0, ,310.8, ,870,H31,9,H292,1.64, ,0.003,3.631,5258.36,179.007,5440.66,25399.9,24865.42,534.48,25398.99,0.072,1.06,111.3,3142.19,2134.45,3,loose cap on cubitainer; air in cubitainer, ,  ,14.5,0
WNDP99-0611,2001,1,Yes,06/20/2001,06/20/2001,1,K,8.47, ,2604, ,9548.7, ,26.4, ,74.3,H15,50, ,19.76, ,105.02,H6,455,H49,0,H236,3999.6,H251,5586.9,H285,19135.9,H222,281.1,H284,2.3, ,17473.4,H42,179.8,H33,1108.8,H42,2420,H49,4,H283,8.9, ,0.003,2.951,8560.573,236.876,8799.83,29005.4,27385.43,1619.98,29003.41,0.069,2.87,197.19,3393.72,2353.85,2,very dark water, ,  ,5.318681319,0.006373626
WNDP99-0615,2001,1,Yes,07/10/2001,07/10/2001,1,F,8.02, ,972, ,5825.1, ,12.8, ,55.2,H15,20, ,9.13, ,66.72,H6,264, ,1,H218,4814.8,H231,3459.3,H204,3042.5,H217,173.2,H238,3.4, ,3634.1,H24,0,H14,1182.4,H24,1014, ,7,H263,21.35,H9,0.01,1.047,5412.468,53.139,5466.28,11492.89,10283.18,1209.71,11489.69,0.029,5.56,90.89,1260.71,1047.81,2,air in cubitainer, ,  ,3.840909091,0
